representation,target,n_rows,n_classes,balanced_accuracy,ci_low,ci_high,chance_balanced_accuracy,accuracy,majority_accuracy
openai_qubric,system,2129,107,0.2032382357763568,0.18122909493359568,0.22656610373285244,0.009345794392523364,0.20291216533583842,0.009394081728511038
openai_qubric,model,1191,36,0.2882306851237096,0.26941166049662896,0.30868007559345273,0.027777777777777776,0.22753988245172124,0.18387909319899245
openai_qubric,vendor,1591,8,0.3621647292989567,0.33162096620730563,0.38813707001818815,0.125,0.32055311125078567,0.6115650534255186
openai_qubric,harness,2069,61,0.28857536150996255,0.26228761723736405,0.3144303997699166,0.01639344262295082,0.235862735621073,0.07733204446592556
openai_qubric,task,2129,20,0.9878107077780859,0.9819819480719566,0.9935318627450981,0.05,0.9877876937529356,0.050258337247534056
openai_qubric,outcome,2129,2,0.8395683946733006,0.8177627888400598,0.8612890066602741,0.5,0.8454673555659934,0.5937059652418976
openai_raw,system,2129,107,0.892487839536536,0.8805656665027053,0.9047142090152999,0.009345794392523364,0.8933771723813997,0.009394081728511038
openai_raw,model,1191,36,0.8771421789311119,0.86336653975086,0.8916446113638241,0.027777777777777776,0.8623005877413937,0.18387909319899245
openai_raw,vendor,1591,8,0.9716871201818027,0.9629940878549144,0.9794310029462151,0.125,0.9296040226272785,0.6115650534255186
openai_raw,harness,2069,61,0.9598364893404948,0.9516102864499266,0.9678760612433776,0.01639344262295082,0.9734171097148381,0.07733204446592556
openai_raw,task,2129,20,1.0,1.0,1.0,0.05,1.0,0.050258337247534056
openai_raw,outcome,2129,2,0.8177841698982952,0.796707182468048,0.8388156556957764,0.5,0.8248003757632691,0.5937059652418976
nomic_qubric,system,2129,107,0.1573400010930754,0.13875940366308845,0.1770877659146951,0.009345794392523364,0.1573508689525599,0.009394081728511038
nomic_qubric,model,1191,36,0.23124877275096573,0.21089253080618212,0.25331999093778307,0.027777777777777776,0.17632241813602015,0.18387909319899245
nomic_qubric,vendor,1591,8,0.30355451413963297,0.26461373330919136,0.341079706053175,0.125,0.23255813953488372,0.6115650534255186
nomic_qubric,harness,2069,61,0.22492758085614215,0.19935385654879867,0.25250923928674135,0.01639344262295082,0.1986466892218463,0.07733204446592556
nomic_qubric,task,2129,20,0.9859327321124184,0.980125842234276,0.9917358117574063,0.05,0.9859088774072334,0.050258337247534056
nomic_qubric,outcome,2129,2,0.8356739774639643,0.8155642580014286,0.8552361213495797,0.5,0.841709722874589,0.5937059652418976
nomic_raw,system,2129,107,0.8408400284199595,0.8243218662895558,0.8572353943832002,0.009345794392523364,0.841709722874589,0.009394081728511038
