representation,target,n_rows,n_classes,balanced_accuracy,ci_low,ci_high,chance_balanced_accuracy,accuracy,majority_accuracy
openai_generic,system,2129,107,0.6090643274853801,0.5860040500049831,0.6341043814640136,0.009345794392523364,0.6092062000939408,0.009394081728511038
openai_generic,model,1191,36,0.6297440929921102,0.6020305731873714,0.6578522081949351,0.027777777777777776,0.5113350125944585,0.18387909319899245
openai_generic,vendor,1591,8,0.6424278550490624,0.6049167637804473,0.6780491041219433,0.125,0.6222501571338781,0.6115650534255186
openai_generic,harness,2069,61,0.7649350828923737,0.7466228212550489,0.785713839183999,0.01639344262295082,0.7211213146447559,0.07733204446592556
openai_generic,task,2129,20,0.9892126609063657,0.9766785120850504,0.9994511278195489,0.05,0.9891968060122123,0.050258337247534056
openai_generic,outcome,2129,2,0.8388371625082316,0.8115509648133697,0.8651737920826131,0.5,0.8426491310474401,0.5937059652418976
nomic_generic,system,2129,107,0.5552249002568728,0.5396634935331733,0.5721231703043572,0.009345794392523364,0.5551902301550024,0.009394081728511038
nomic_generic,model,1191,36,0.5917446613230379,0.571161419209815,0.6135652129468644,0.027777777777777776,0.4517212426532326,0.18387909319899245
nomic_generic,vendor,1591,8,0.6273628654952943,0.588123582286609,0.6606869676047425,0.125,0.5223130106851037,0.6115650534255186
nomic_generic,harness,2069,61,0.6955370970666784,0.6742893401211578,0.7179120940042536,0.01639344262295082,0.6292895118414693,0.07733204446592556
nomic_generic,task,2129,20,0.9887364704301753,0.9762535476563604,0.9984950757575758,0.05,0.9887271019257867,0.050258337247534056
nomic_generic,outcome,2129,2,0.8564539584400381,0.8377475954070206,0.8749527150569397,0.5,0.8609675904180366,0.5937059652418976
bge_generic,system,2129,107,0.5811881729245232,0.5632117116193912,0.6001944478603048,0.009345794392523364,0.5814936589948333,0.009394081728511038
bge_generic,model,1191,36,0.5958675553942617,0.5700971526615819,0.6244282146872607,0.027777777777777776,0.47103274559193953,0.18387909319899245
bge_generic,vendor,1591,8,0.6421006097871127,0.610436990292267,0.6808467568975739,0.125,0.5744814582023884,0.6115650534255186
bge_generic,harness,2069,61,0.7266100145641925,0.7079179990151732,0.7460909580406206,0.01639344262295082,0.666022232962784,0.07733204446592556
bge_generic,task,2129,20,0.9887364704301753,0.976232879223773,0.9989690721649485,0.05,0.9887271019257867,0.050258337247534056
